name	codepoint_hex	glyph	printf_escape
nf-dev-prolog	e7a1		\ue7a1
nf-dev-prometheus	e870		\ue870
nf-dev-protractor	e871		\ue871
nf-dev-pulsar	e872		\ue872
nf-dev-pulumi	e873		\ue873
nf-dev-puppeteer	e874		\ue874
nf-dev-purescript	e875		\ue875
nf-dev-putty	e876		\ue876
nf-dev-pycharm	e877		\ue877
nf-dev-pypi	e878		\ue878
nf-dev-pyscript	e879		\ue879
nf-dev-pytest	e87a		\ue87a
nf-dev-python	e73c		\ue73c
nf-dev-pytorch	e87b		\ue87b
nf-dev-qodana	e87c		\ue87c
nf-dev-qt	e87d		\ue87d
nf-dev-quarkus	e87e		\ue87e
nf-dev-quasar	e87f		\ue87f
nf-dev-qwik	e880		\ue880
nf-dev-r	e881		\ue881
nf-dev-rabbitmq	e882		\ue882
nf-dev-rails	e73b		\ue73b
nf-dev-railway	e883		\ue883
nf-dev-rancher	e884		\ue884
nf-dev-reach	e885		\ue885
nf-dev-react	e7ba		\ue7ba
nf-dev-reactbootstrap	e886		\ue886
nf-dev-reactnavigation	e887		\ue887
nf-dev-reactrouter	e888		\ue888
nf-dev-readthedocs	e889		\ue889
nf-dev-realm	e88a		\ue88a
nf-dev-rect	e88b		\ue88b
nf-dev-redhat	e7bb		\ue7bb
nf-dev-redis	e76d		\ue76d
nf-dev-redux	e88c		\ue88c
nf-dev-renpy	e88d		\ue88d
nf-dev-replit	e88e		\ue88e
nf-dev-requirejs	e770		\ue770
nf-dev-rider	e88f		\ue88f
nf-dev-rocksdb	e890		\ue890
nf-dev-rockylinux	e891		\ue891
nf-dev-rollup	e892		\ue892
nf-dev-ros	e893		\ue893
nf-dev-rspec	e894		\ue894
nf-dev-rstudio	e895		\ue895
nf-dev-ruby	e739		\ue739
nf-dev-rubymine	e896		\ue896
nf-dev-rust	e7a8		\ue7a8
nf-dev-rxjs	e897		\ue897
nf-dev-safari	e748		\ue748
nf-dev-salesforce	e898		\ue898
nf-dev-sanity	e899		\ue899
nf-dev-sass	e74b		\ue74b
nf-dev-scala	e737		\ue737
nf-dev-scalingo	e89a		\ue89a
nf-dev-scikitlearn	e89b		\ue89b
nf-dev-sdl	e89c		\ue89c
nf-dev-selenium	e89d		\ue89d
nf-dev-sema	e89e		\ue89e
nf-dev-sentry	e89f		\ue89f
nf-dev-sequelize	e8a0		\ue8a0
nf-dev-shopware	e8a1		\ue8a1
nf-dev-shotgrid	e8a2		\ue8a2
nf-dev-sketch	e8a3		\ue8a3
nf-dev-slack	e8a4		\ue8a4
nf-dev-socketio	e8a5		\ue8a5
nf-dev-solidity	e8a6		\ue8a6
nf-dev-solidjs	e8a7		\ue8a7
nf-dev-sonarqube	e8a8		\ue8a8
nf-dev-sourcetree	e8a9		\ue8a9
nf-dev-spack	e8aa		\ue8aa
nf-dev-splunk	e8ab		\ue8ab
nf-dev-spring	e8ac		\ue8ac
nf-dev-spss	e8ad		\ue8ad
nf-dev-spyder	e8ae		\ue8ae
nf-dev-sqlalchemy	e8af		\ue8af
nf-dev-sqldeveloper	e8b0		\ue8b0
nf-dev-sqlite	e7c4		\ue7c4
nf-dev-ssh	e8b1		\ue8b1
nf-dev-stackoverflow	e710		\ue710
nf-dev-stata	e8b2		\ue8b2
nf-dev-storybook	e8b3		\ue8b3
nf-dev-streamlit	e8b4		\ue8b4
nf-dev-stylus	e759		\ue759
nf-dev-sublime	e7aa		\ue7aa
nf-dev-subversion	e8b5		\ue8b5
nf-dev-supabase	e8b6		\ue8b6
nf-dev-svelte	e8b7		\ue8b7
